index,raw_dtype,raw_min,raw_max,raw_mean,rgb_min,rgb_max,rgb_mean,rgb_std
13326,uint16,0.0,60524.0,35532.36308195153,0.0,255.0,253.56566884566325,18.843567356393915
77214,uint16,0.0,65535.0,28524.37348533163,0.0,255.0,252.4480428890306,24.557961680480453
57056,uint16,0.0,65535.0,35004.89602598852,0.0,255.0,252.35261878188774,25.361339612736707
60543,uint16,0.0,65535.0,32607.657087053572,0.0,255.0,240.17091836734693,58.23624767247953
28012,uint16,0.0,65535.0,33285.84606186225,0.0,255.0,232.10853794642858,69.6899381411971
73259,uint16,8172.0,63178.0,41484.61738679847,255.0,255.0,255.0,0.0
92077,uint16,0.0,60824.0,31665.150051817604,0.0,255.0,251.1164700255102,30.76866336894112
623,uint16,0.0,62834.0,31238.030831473214,0.0,255.0,222.38354990433675,84.86165911330012
25509,uint16,0.0,65535.0,30384.14481026786,0.0,255.0,237.90513392857142,62.57935848861716
80477,uint16,0.0,65535.0,38107.4576690051,0.0,255.0,253.27018893494898,20.74331596487813
52221,uint16,1654.0,57761.0,35899.065609056124,255.0,255.0,255.0,0.0
52805,uint16,0.0,65535.0,36248.556142378824,0.0,255.0,248.12559789540816,40.4597395320373
89646,uint16,0.0,65535.0,32579.34101961097,0.0,255.0,247.41615513392858,42.62844328602634
10376,uint16,0.0,65535.0,31247.193219866072,0.0,255.0,239.07902184311226,61.12587929989056
48220,uint16,0.0,59080.0,38471.112224968114,0.0,255.0,254.78637197066325,7.2525108924377815
53139,uint16,0.0,65535.0,24534.31126434949,0.0,255.0,171.18122209821428,119.44937473236477
47465,uint16,0.0,59775.0,20162.285016741072,0.0,255.0,170.00512197066325,119.86090735115519
79408,uint16,0.0,65535.0,30273.345025510203,0.0,255.0,245.9443957270408,45.94428201708389
17393,uint16,0.0,65535.0,34258.62213010204,0.0,255.0,243.6887356505102,51.56380925080803
53913,uint16,0.0,65535.0,31406.809968909438,0.0,255.0,244.251953125,49.26983253928648
2114,uint16,0.0,65535.0,35009.54994419643,0.0,255.0,253.0578164859694,21.979402497231977
15864,uint16,0.0,63726.0,25065.34181680485,0.0,255.0,195.74734933035714,107.32561906368471
81417,uint16,0.0,65535.0,28099.470204878828,0.0,255.0,246.29655612244898,45.90418001579891
63388,uint16,0.0,65535.0,39397.67741549745,0.0,255.0,250.70577566964286,32.53690977294497
13803,uint16,0.0,65535.0,33362.22779815051,0.0,255.0,230.92494419642858,73.29185749832597
19115,uint16,0.0,65535.0,38741.112583705355,0.0,255.0,250.80516581632654,31.990936023565027
74418,uint16,0.0,65535.0,29222.208087531886,0.0,255.0,249.4835977359694,36.72876423931747
72514,uint16,0.0,65535.0,29614.375856983417,0.0,255.0,234.29860889668367,69.15952428094316
70095,uint16,0.0,65535.0,28460.844108737245,0.0,255.0,249.25408561862244,37.17133814852833
47180,uint16,0.0,65535.0,34992.12705277424,0.0,255.0,247.53483737244898,42.0065614143187
95469,uint16,0.0,65535.0,36157.17207429847,0.0,255.0,251.1765585140306,30.280975503472263
85118,uint16,0.0,65535.0,30927.865852200255,0.0,255.0,238.08699378188774,62.65965915711024
51809,uint16,0.0,65535.0,36065.77802136479,0.0,255.0,252.47415098852042,24.976089679544454
70445,uint16,5980.0,63503.0,40531.699956154334,255.0,255.0,255.0,0.0
30210,uint16,0.0,65535.0,32092.038424744896,0.0,255.0,231.55323262117346,72.44269757479384
44971,uint16,0.0,65535.0,33439.14953364158,0.0,255.0,241.25988520408163,56.31109159419829
41497,uint16,0.0,61923.0,32510.52218191964,0.0,255.0,253.15764508928572,20.88930593452866
32354,uint16,0.0,65535.0,32142.200035873724,0.0,255.0,246.3165656887755,45.6873337276507
48652,uint16,0.0,65535.0,33093.34941007653,0.0,255.0,249.6777941645408,35.36447262877796
47445,uint16,6784.0,65149.0,41128.626953125,255.0,255.0,255.0,0.0
71424,uint16,7357.0,63336.0,46075.01979033801,255.0,255.0,255.0,0.0
12385,uint16,0.0,57976.0,35507.05546476403,0.0,255.0,248.5172791772959,39.77644976884179
77676,uint16,0.0,65535.0,28387.13155691964,0.0,255.0,250.1473014987245,34.50279592714416
42680,uint16,0.0,65535.0,38439.68708147322,0.0,255.0,252.72163982780611,23.746931504697
60046,uint16,0.0,58764.0,36546.24424027424,0.0,255.0,254.3646165497449,12.373629668819525
75152,uint16,0.0,65535.0,32053.235829878828,0.0,255.0,247.88783482142858,41.21740622818651
41677,uint16,0.0,59210.0,37330.0943877551,0.0,255.0,254.85082509566325,6.006846025637934
15320,uint16,0.0,63929.0,31935.604113520407,0.0,255.0,234.89492984693877,67.12949324257768
44230,uint16,0.0,65535.0,40652.42707669005,0.0,255.0,252.41587611607142,25.214622000918315
60688,uint16,0.0,65535.0,33388.77307876275,0.0,255.0,245.7536471619898,46.90342459449195
26877,uint16,5292.0,61153.0,36629.51998963648,255.0,255.0,255.0,0.0
28800,uint16,0.0,65535.0,32503.49465880102,0.0,255.0,246.5896444515306,44.84712437067443
55504,uint16,0.0,65535.0,34918.379125478314,0.0,255.0,252.80203683035714,22.721890148689837
14706,uint16,632.0,59971.0,37383.756098533166,255.0,255.0,255.0,0.0
43767,uint16,82.0,60050.0,36939.93138153699,82.0,255.0,254.99655213647958,0.7723137324091531
68935,uint16,0.0,65535.0,30139.224210778062,0.0,255.0,240.86352040816325,57.99821030439076
69482,uint16,0.0,65535.0,30220.413185586734,0.0,255.0,238.18829719387756,62.46341355295264
44742,uint16,0.0,65423.0,33745.79326769771,0.0,255.0,240.47716039540816,58.27560718870422
95580,uint16,0.0,65535.0,32825.00699537627,0.0,255.0,243.89883609693877,50.902496050722306
65443,uint16,0.0,63268.0,36141.51086176658,0.0,255.0,245.5263671875,46.41755817098889
46757,uint16,0.0,65535.0,36718.17350924745,0.0,255.0,251.84626116071428,27.875156599393723
30649,uint16,0.0,65535.0,28158.154396524234,0.0,255.0,242.5567402742347,54.60522609681831
69234,uint16,0.0,65535.0,27713.716418207907,0.0,255.0,231.0521165497449,73.43227520428427
53343,uint16,0.0,65535.0,34161.22516741072,0.0,255.0,247.55548469387756,42.54735496026235
70989,uint16,0.0,59722.0,29912.45280612245,0.0,255.0,253.97899394132654,14.54271468655982
42251,uint16,8026.0,63487.0,34793.525370695155,255.0,255.0,255.0,0.0
89723,uint16,0.0,65535.0,31525.33639588648,0.0,255.0,248.95170998086735,38.045829366703636
12206,uint16,0.0,65535.0,39069.8909638074,0.0,255.0,247.14568718112244,43.772065551336084
64609,uint16,0.0,65535.0,34381.38528380102,0.0,255.0,245.03673070790816,48.376455795283356
78869,uint16,0.0,65535.0,28350.841179049745,0.0,255.0,249.81489158163265,35.51580750551589
2167,uint16,0.0,59101.0,39057.26399075255,0.0,255.0,254.92902981505102,4.023558145782308
26428,uint16,0.0,65535.0,29424.41302614796,0.0,255.0,250.07065130739795,34.10388521662201
13765,uint16,0.0,57603.0,34274.88050063775,0.0,255.0,242.1354432397959,55.59052932011469
26353,uint16,0.0,65535.0,35688.31927614796,0.0,255.0,246.62543845663265,44.314359365753766
89490,uint16,0.0,65535.0,28978.88347018495,0.0,255.0,247.06335698341837,43.68280636029782
92683,uint16,14848.0,63348.0,44912.06042729592,255.0,255.0,255.0,0.0
30316,uint16,0.0,65535.0,33450.44525271046,0.0,255.0,233.8992147640306,69.0916775286296
72133,uint16,0.0,65535.0,32412.12179129464,0.0,255.0,248.63464604591837,39.01954534475903
79388,uint16,9119.0,63348.0,42711.091717155614,255.0,255.0,255.0,0.0
60680,uint16,0.0,65535.0,30882.098333864797,0.0,255.0,245.53166852678572,47.866572664786524
44329,uint16,0.0,65535.0,28486.153499681124,0.0,255.0,250.72448979591837,32.201337347567346
54625,uint16,0.0,65535.0,28530.669104751276,0.0,255.0,240.17281170280611,59.035531742214665
31058,uint16,0.0,65535.0,32228.97556600765,0.0,255.0,251.83011798469389,27.391053444274462
92510,uint16,0.0,65535.0,29374.859235491072,0.0,255.0,236.5428093112245,65.0680468921207
14661,uint16,0.0,65535.0,33975.60606664541,0.0,255.0,246.74340322066325,44.59333577378345
81199,uint16,0.0,65535.0,31374.96580038265,0.0,255.0,252.3873365752551,24.83181514188985
22842,uint16,0.0,57927.0,28945.05373086735,0.0,255.0,239.2951211734694,57.48593956682561
44624,uint16,0.0,62117.0,30315.79296875,0.0,255.0,252.81662547831633,21.441156911936847
63095,uint16,0.0,65535.0,23098.285634566328,0.0,255.0,176.6763990752551,116.6484466517307
64730,uint16,0.0,62092.0,32364.479272959183,0.0,255.0,232.23772321428572,71.31121140410417
95738,uint16,0.0,65535.0,32229.952387595662,0.0,255.0,227.4104153380102,78.29731931040473
84608,uint16,0.0,65535.0,32620.86945950255,0.0,255.0,253.55321269132654,18.48816430665549
39229,uint16,0.0,61601.0,32578.804807079083,0.0,255.0,238.39690290178572,60.58498289376948
58024,uint16,0.0,65535.0,33178.30410953444,0.0,255.0,251.16784917091837,30.216803489704436
35314,uint16,0.0,59451.0,33025.654476243624,0.0,255.0,250.11802455357142,34.34223596810402
11656,uint16,0.0,60834.0,30647.064831792093,0.0,255.0,225.84032206632654,80.55051171920235
47764,uint16,7109.0,62755.0,36411.774852519135,255.0,255.0,255.0,0.0
93751,uint16,0.0,65535.0,26050.248086734693,0.0,255.0,247.1279296875,43.69312762543739
42702,uint16,0.0,65535.0,33946.866489955355,0.0,255.0,247.5811144770408,42.09789233138858
27191,uint16,0.0,65535.0,34461.504803093114,0.0,255.0,236.0281608737245,66.02282013963777
66426,uint16,0.0,65535.0,29153.251275510203,0.0,255.0,228.09522480867346,77.39929128417091
2379,uint16,0.0,65535.0,34348.89365433674,0.0,255.0,249.95424107142858,35.176494720218784
47902,uint16,0.0,65535.0,37346.619897959186,0.0,255.0,250.25581951530611,33.63504323209766
13333,uint16,0.0,65535.0,36126.35202088648,0.0,255.0,252.79617745535714,23.247765395392832
39163,uint16,0.0,63920.0,28801.066525829083,0.0,255.0,243.4485411352041,48.60161079974224
53036,uint16,0.0,65535.0,32603.417789381376,0.0,255.0,244.8955676020408,49.20790165800043
39902,uint16,2732.0,61733.0,36521.84847337373,255.0,255.0,255.0,0.0
40781,uint16,0.0,65535.0,33185.79661591199,0.0,255.0,245.53575414540816,47.525573359065575
11842,uint16,0.0,64410.0,32476.521902901786,0.0,255.0,239.15575175382654,61.100103537268296
28371,uint16,0.0,65535.0,26773.332768654338,0.0,255.0,239.2350526147959,61.087028374800546
71579,uint16,0.0,65535.0,28120.01102120536,0.0,255.0,252.95808753188774,22.323652058042306
42150,uint16,0.0,64684.0,35823.957728794645,0.0,255.0,252.4492785395408,24.85240026928332
12611,uint16,0.0,65535.0,36078.67315051021,0.0,255.0,253.0181959502551,21.669586012886683
42900,uint16,0.0,63189.0,33297.38944913903,0.0,255.0,238.78908242984693,61.68969347337161
